smiles,n_rotatable_bonds,energy_spread,predictive_var
CCc1cnccn1,1,1.1679084366278403e-09,2.1544771
C(Br)Br,0,0.0,3.7627192
c1cc(ccc1O)Br,0,0.0,3.2264261
COC(=O)C1CC1,1,0.12957135348488652,2.1442728
CC(C)(C)O,0,0.0,2.0373583
CCCCC#N,2,0.34523239833691216,2.144723
CN(C)C=O,1,0.0,2.269147
C1CNC1,0,0.0,2.1964617
CCCC(C)(C)C,1,0.302977240678553,2.044568
c1ccc2cc(ccc2c1)O,0,0.0,2.0348825
CN(C)C,0,0.0,2.235959
C(CO[N+](=O)[O-])O,3,0.06791483760937096,5.9858027
CCl,0,0.0,2.8823786
C(I)I,0,0.0,44.857933
C[N+](=O)[O-],0,0.0,2.5908747
CCOC,1,0.5160820468513658,2.165288
CC(C)CC(=O)O,2,0.31826532448693856,2.0888948
c1ccc(cc1)CBr,1,0.0,2.1283236
CNC,0,0.0,2.2461405
C(=C(F)F)(C(F)(F)F)F,0,0.0,3.0907373
c1cc(cc(c1)O)C#N,0,0.0,2.1088877
CCCC#N,1,0.00328313390037362,2.2399073
[C@@H](C(F)(F)F)(F)Br,0,0.0,4.2959223
C1CCOCC1,0,0.0,2.0960627
CC(C)Cc1cnccn1,2,0.15754932166322516,2.245572
c1ccc(cc1)c2cc(ccc2Cl)Cl,1,0.0,2.0325937
CC1(Cc2cccc(c2O1)OC(=O)NC)C,1,4.3218761902608094e-11,2.0638552
CC(C)(C)Cl,0,0.0,2.0837984
CC[C@@H](C)C(C)C,2,0.3577914046542431,2.0470133
CCCCCC(=O)C,4,0.5597711098081753,2.0866137
CCCOC(=O)CC,3,0.3982265588879258,2.033925
CCCC=O,2,0.2592800099442587,2.1538286
c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,0,0.0,7.6665735
CC(=O)N1CCCC1,0,0.0,2.0816965
CCCN(CCC)C(=O)SCCC,6,0.5820804619217375,2.5970774
c1cc(c(c(c1)Cl)Cl)Cl,0,0.0,2.0707293
c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,0,0.0,2.1797228
c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,0,0.0,2.1875849
CCCCc1ccccc1,3,0.3854872834481107,2.050355
CCOCC,2,0.5878240390990053,2.0752993
CCCCC=C,3,0.4068914850330498,2.0435495
COS(=O)(=O)C,1,0.0,2.8567286
c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,1,1.2679564065365412e-09,2.120698
CCC,0,0.0,2.0582018
CC1CCCC1,0,0.3691968540763713,2.1389704
Cc1cccc(c1)O,0,0.0,2.0283022
C(C(F)(F)F)Cl,0,0.0,6.0506372
C=C,0,0.0,2.273221
COP(=O)(OC)OC,3,0.22488298907565404,18.175928
COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,5,0.5867686130274705,66.010155
CC(C)c1ccccc1,1,0.0,2.012456
C(Cl)(Cl)Cl,0,0.0,2.6167078
CCCCCCCN,5,0.44495374736392845,2.3085146
c1ccc(cc1)CCl,1,0.0,2.0520525
COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,3,0.2898838887567736,2.360917
c1ccncc1,0,0.0,2.1050997
C1CCC(CC1)N,0,0.1114976599611337,7.162713
CC1CCCCC1,0,0.3923397060685728,2.042119
Cc1ccc(c(c1)OC)O,1,0.0,2.0361032
CC(C)COC=O,3,0.3520841742863981,2.0628862
CCCCCCCC(=O)C,6,0.6195137525303729,2.0482492
CC=C(C)C,0,0.0,2.0350084
CCI,0,0.0,3.2341852
Cn1cccc1,0,0.0,2.139062
CCC(CC)O,2,0.36431112546178074,2.2615786
c1cc(cnc1)C#N,0,0.0,2.3222628
c1cc(c(cc1O)Cl)Cl,0,0.0,2.1159105
C(F)Cl,0,0.0,2.988534
CC1=CC(=O)CC(C1)(C)C,0,6.377121053446899e-12,2.021062
CCCCCC#C,3,0.21919937976856316,2.0319452
CS(=O)C,0,0.0,2.8830805
C(=C(Cl)Cl)(Cl)Cl,0,0.0,2.631997
c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,1,0.0,2.0534906
CCCCCCC=O,5,0.5159142119211022,2.062192
COc1cc(c(c(c1O)OC)Cl)C=O,3,0.0,2.0992746
CC1CCC(CC1)C,0,0.4572871887588631,2.0362482
c1ccc(cc1)c2ccccc2,1,3.147135885228636e-10,2.0422716
c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,2,0.07157710142080025,2.300912
c1c(c(=O)[nH]c(=O)[nH]1)F,0,0.0,6.115075
CCC(C)CC,2,0.12276023522325408,2.0330248
c1cc(c(c(c1)Cl)C#N)Cl,0,0.0,2.1548128
CCCCCCCCC=O,7,0.5606711423086882,2.0529184
COC,0,0.0,2.1797228
Cc1ccc(c2c1cccc2)C,0,0.0,2.0448084
C(C(Cl)(Cl)Cl)(Cl)Cl,0,0.0,2.3243647
c1ccc(cc1)CCO,2,0.2889129795016379,2.1209345
Cc1cccc(c1N)C,0,0.0,2.0388498
CCCC(=O)OCCC,4,0.2781016941986386,2.0397272
CC=O,0,0.0,2.181138
CCCBr,1,0.19242703912865367,4.3861322
c1cnccc1C#N,0,0.0,2.280366
c1ccc2c(c1)cccc2O,0,0.0,2.0337076
CC(C)OC(C)C,2,2.1514523496080074e-10,2.0560846
CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],2,3.7778846717628767e-10,2.0820017
Cc1ccc(nc1)C,0,0.0,2.0624475
CC(C)CC(C)C,2,0.15119790219962975,2.0454683
c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,1,0.0,2.0890207
c1ccc(cc1)CCCO,3,0.24916160181194222,2.0791101
CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],5,0.05863505120973197,23.867395
COc1ccc(cc1)C(=O)OC,2,0.08692735743112733,2.048295
CCC(=O)Nc1ccc(c(c1)Cl)Cl,2,0.24992066642819552,2.1202784
C=CCO,1,4.2940762057241955e-11,2.1308603
c1ccc(cc1)C(=O)N,1,0.0,2.0658236
COCCN,2,0.6468537056920947,4.943406
Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl,0,2.7492141896345856e-10,2.737527
CC(=O)CO[N+](=O)[O-],3,0.386209575541374,5.192376
Cc1cccc(c1)[N+](=O)[O-],1,0.0,2.0563898
CCCCCC(=O)OC,4,0.6010501333183085,2.0158243
CCCC[C@@H](C)CC,4,0.46802210230026803,2.0320063
c1c(c(=O)[nH]c(=O)[nH]1)Cl,0,0.0,5.898141
CC(C)CC(C)(C)C,1,0.26270488392631125,2.059247
CCCCCCN,4,0.422580642791221,2.1659708
CCC(C)C,1,0.2406432849032883,2.0301218
CC(=C)c1ccccc1,1,4.0946801505015173e-10,2.020753
Cc1ccccc1[N+](=O)[O-],1,7.213785124804417e-11,2.0601435
CC(C)COC(=O)C,2,0.34767792391206437,2.0441637
c1ccc(c(c1)O)F,0,0.0,2.3691683
C(C(F)(F)F)O,0,0.0,2.9928064
CC(C)(C)C,0,0.0,2.0419092
CCCCC(=O)CCCC,6,0.7132651186302937,2.069253
Cc1ccccc1C,0,0.0,2.0217447
C[C@H](C(F)(F)F)O,0,0.0,2.6752253
C1CC=CC1,0,0.0,2.0732546
C1COCCO1,0,0.0,2.2581263
CCCCC/C=C/C=O,5,0.7035066385428683,2.0953684
CCOP(=S)(OCC)SCSCC,8,0.5350517617061723,6.5170527
CCCCCCCCl,5,0.47378160332800057,2.0491228
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,12,0.6567490109476581,11.204247
